REC_ID,FILETERM,FTERMA,FILEDATE,COURSE,CRSLEVEL,CDEPT,CNUM,CTITLE,MINCREDS,MaxCredits,Grade,UGGR,FT_PT,REGCREDS,ADMSTAT,SPECSRV1,SPECSRV2,CATEGORY,ACADEMICPROGRAM,ACADEMICPROGRAMDESCRIPTION,STARTTRM,SEX,AGE,ALIEN,NEWETH,COMBETH,CLASS,CUMATT,CUMCRED,CUMGPA,CUMPTS,HSNAME,SATVERB,SATMATH,SATWRITE,ACT,Wordcount,ZYBooks_Timeliness,ZYBooks_Curiosity,Weighted_Midterm_Total,Weighted_Final_Total,Word_Count
8197,201402,201402,2/1/2014,CSCI_1202,1,CSCI,1202,Computer Programming II,3, ,B-,UG,F,15,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,19, ,3,3,SO,43,43,2.914,125.31,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201402,201402,2/1/2014,CSCI_2215,2,CSCI,2215,Intro to Computer Science,3, ,B-,UG,F,15,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,19, ,3,3,SO,43,43,2.914,125.31,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201409,201409,9/1/2014,CSCI_2247,2,CSCI,2247, , , ,C,UG,F,13,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,SO,58,60,2.902,168.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201409,201409,9/1/2014,CSCI_3268,3,CSCI,3268, , , ,B,UG,F,13,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,SO,58,60,2.902,168.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201409,201409,9/1/2014,CSCI_2232,2,CSCI,2232,Data Structures,3, ,D,UG,F,13,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,SO,58,60,2.902,168.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201409,201409,9/1/2014,MATH_1105,1,MATH,1105,College Algebra,4, ,D,UG,F,13,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,SO,58,60,2.902,168.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201502,201502,2/1/2015,ART_1161,1,ART,1161,Painting I,3, ,A-,UG,F,16,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,JR,71,73,2.681,190.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201502,201502,2/1/2015,CSCI_3249,3,CSCI,3249,Computer Organization,3, ,B-,UG,F,16,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,JR,71,73,2.681,190.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201502,201502,2/1/2015,CSCI_3278,3,CSCI,3278,Operating Systems,3, ,B+,UG,F,16,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,JR,71,73,2.681,190.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201502,201502,2/1/2015,MATH_1107,1,MATH,1107,Precalculus,4, ,D,UG,F,16,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,20, ,3,3,JR,71,73,2.681,190.33,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201509,201509,9/1/2015,BIOL_1251,1,BIOL,1251,General Biology I,3, ,B,UG,F,17,TRMAT, , ,1,CSCI2.TEA,Computer Science,12/FA,M,21, ,3,3,JR,88,90,2.583,227.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201509,201509,9/1/2015,BIOL_1253,1,BIOL,1253,Lab:General Biology I,1, ,C,UG,F,17,TRMAT, , ,1,CSCI2.TEA,Computer Science,12/FA,M,21, ,3,3,JR,88,90,2.583,227.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201509,201509,9/1/2015,CHEM_1201,1,CHEM,1201,General Chemistry I,3, ,B,UG,F,17,TRMAT, , ,1,CSCI2.TEA,Computer Science,12/FA,M,21, ,3,3,JR,88,90,2.583,227.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201509,201509,9/1/2015,CHEM_1203,1,CHEM,1203,LAB: General Chemistry I,1, ,A,UG,F,17,TRMAT, , ,1,CSCI2.TEA,Computer Science,12/FA,M,21, ,3,3,JR,88,90,2.583,227.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201509,201509,9/1/2015,CSCI_3240,3,CSCI,3240,Computer Networks,3, ,C,UG,F,17,TRMAT, , ,1,CSCI2.TEA,Computer Science,12/FA,M,21, ,3,3,JR,88,90,2.583,227.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201509,201509,9/1/2015,CSCI_6620,6,CSCI,6620,Software Engineering,3, ,B-,UG,F,17,TRMAT, , ,1,CSCI2.TEA,Computer Science,12/FA,M,21, ,3,3,JR,88,90,2.583,227.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201509,201509,9/1/2015,ENGR_2210,2,ENGR,2210,Technical Communications,3, ,B+,UG,F,17,TRMAT, , ,1,CSCI2.TEA,Computer Science,12/FA,M,21, ,3,3,JR,88,90,2.583,227.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201602,201602,2/1/2016,BIOL_1252,1,BIOL,1252,General Biology II,3, ,B,UG,F,14,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,21, ,3,3,JR,105,107,2.622,275.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201602,201602,2/1/2016,BIOL_1254,1,BIOL,1254,Lab:General Biology II,1, ,B-,UG,F,14,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,21, ,3,3,JR,105,107,2.622,275.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201602,201602,2/1/2016,CHEM_1202,1,CHEM,1202,General Chemistry II,3, ,B+,UG,F,14,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,21, ,3,3,JR,105,107,2.622,275.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201602,201602,2/1/2016,CHEM_1204,1,CHEM,1204,LAB: General Chemistry II,1, ,A,UG,F,14,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,21, ,3,3,JR,105,107,2.622,275.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201602,201602,2/1/2016,CORE_2003,2,CORE,2003,Cross-Cultural Perspectives,3, ,B+,UG,F,14,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,21, ,3,3,JR,105,107,2.622,275.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201602,201602,2/1/2016,CSCI_3410,3,CSCI,3410,Foundations of Cybersecurity,3, ,A,UG,F,14,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,21, ,3,3,JR,105,107,2.622,275.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201602,201602,2/1/2016,SOS_1213,1,SOS,1213,SOS Exams,0, , ,UG,F,14,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,21, ,3,3,JR,105,107,2.622,275.34,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201609,201609,9/1/2016,CSCI_3385,3,CSCI,3385,Artificial Intelligence,3, ,B-,UG,F,18,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,22, ,3,3,SR,123,125,2.724,338.99,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201609,201609,9/1/2016,CSCI_7781,7,CSCI,7781,Advanced Database Systems,3, ,B+,UG,F,18,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,22, ,3,3,SR,123,125,2.724,338.99,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
8197,201609,201609,9/1/2016,ENGR_2286,2,ENGR,2286,Digital System Design,3, ,C,UG,F,18,TRMAT, , ,1,CSCI2.CSCI8.5.TEA,Computer Science,12/FA,M,22, ,3,3,SR,123,125,2.724,338.99,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
